Ê±¼ä,Ö¸Áî,·´À¡
0.0,750,0.0
1e-06,750,0.0
2e-06,750,0.0
3e-06,750,0.0
4e-06,750,0.0
5e-06,750,0.0
6e-06,750,0.0
7e-06,750,0.0
8e-06,750,0.0
9e-06,750,2.2e-05
1e-05,750,8.8e-05
1.1e-05,750,0.000197933
1.2e-05,750,0.000351842
1.3e-05,750,0.000549692
1.4e-05,750,0.000791469
1.5e-05,750,0.001077157
1.6e-05,750,0.001406743
1.7e-05,750,0.001780212
1.8e-05,750,0.002197548
1.9e-05,750,0.002658739
2e-05,750,0.003163768
2.1e-05,750,0.003712621
2.2e-05,750,0.004305284
2.3e-05,750,0.004941741
2.4e-05,750,0.00562198
2.5e-05,750,0.006345984
2.6e-05,750,0.007113739
2.7e-05,750,0.007925232
2.8e-05,750,0.008780446
2.9e-05,750,0.009679368
3e-05,750,0.010621983
3.1e-05,750,0.011608277
3.2e-05,750,0.012638234
3.3e-05,750,0.013711841
3.4e-05,750,0.014829083
3.5e-05,750,0.015989944
3.6e-05,750,0.017194412
3.7e-05,750,0.018442471
3.8e-05,750,0.019734107
3.9e-05,750,0.021069305
4e-05,750,0.02244805
4.1e-05,750,0.023870329
4.2e-05,750,0.025336127
4.3e-05,750,0.026845428
4.4e-05,750,0.028398219
4.5e-05,750,0.029994486
4.6e-05,750,0.031634213
4.7e-05,750,0.033317387
4.8e-05,750,0.035043992
4.9e-05,750,0.036814014
5e-05,750,0.03862744
5.1e-05,750,0.040484253
5.2e-05,750,0.042384441
5.3e-05,750,0.044327988
5.4e-05,750,0.04631488
5.5e-05,750,0.048345103
5.6e-05,750,0.050418641
5.7e-05,750,0.052535482
5.8e-05,750,0.05469561
5.9e-05,750,0.05689901
6e-05,750,0.059145669
6.1e-05,750,0.061435572
6.2e-05,750,0.063768705
6.3e-05,750,0.066145052
6.4e-05,750,0.068564601
6.5e-05,750,0.071027336
6.6e-05,750,0.073533243
6.7e-05,750,0.076082307
6.8e-05,750,0.078674515
6.9e-05,750,0.081309852
7e-05,750,0.083988303
7.1e-05,750,0.086709854
7.2e-05,750,0.089474491
7.3e-05,750,0.0922822
7.4e-05,750,0.095132965
7.5e-05,750,0.098026773
7.6e-05,750,0.10096361
7.7e-05,750,0.103943461
7.8e-05,750,0.106966311
7.9e-05,750,0.110032146
8e-05,750,0.113140953
8.1e-05,750,0.116292716
8.2e-05,750,0.119487422
8.3e-05,750,0.122725056
8.4e-05,750,0.126005604
8.5e-05,750,0.129329051
8.6e-05,750,0.132695383
8.7e-05,750,0.136104586
8.8e-05,750,0.139556646
8.9e-05,750,0.143051548
9e-05,750,0.146589278
9.1e-05,750,0.150169821
9.2e-05,750,0.153793165
9.3e-05,750,0.157459293
9.4e-05,750,0.161168193
9.5e-05,750,0.164919849
9.6e-05,750,0.16869225
9.7e-05,750,0.172463394
9.8e-05,750,0.176233282
9.9e-05,750,0.180001913
0.0001,750,0.183769289
0.000101,750,0.18753541
0.000102,750,0.191300275
0.000103,750,0.195063886
0.000104,750,0.198826244
0.000105,750,0.202587347
0.000106,750,0.206347197
0.000107,750,0.210105794
0.000108,750,0.213863139
0.000109,750,0.21764123
0.00011,750,0.221462053
0.000111,750,0.225325596
0.000112,750,0.229231844
0.000113,750,0.233180783
0.000114,750,0.237172399
0.000115,750,0.241206676
0.000116,750,0.245283602
0.000117,750,0.249403162
0.000118,750,0.253565341
0.000119,750,0.257770126
0.00012,750,0.262017502
0.000121,750,0.266307455
0.000122,750,0.270639971
0.000123,750,0.275015036
0.000124,750,0.279432635
0.000125,750,0.283892755
0.000126,750,0.288395381
0.000127,750,0.292940499
0.000128,750,0.297528094
0.000129,750,0.302158153
0.00013,750,0.306830662
0.000131,750,0.311545606
