Ê±¼ä,Ö¸Áî,Êµ¼Ê
0.0,0,0.0
1e-06,0,0.0
2e-06,0,0.0
3e-06,0,0.0
4e-06,0,0.0
5e-06,0,0.0
6e-06,0,0.0
7e-06,0,0.0
8e-06,0,0.0
9e-06,0,6.74e-14
1e-05,0,1.08e-12
1.1e-05,0,5.46e-12
1.2e-05,0,1.73e-11
1.3e-05,0,4.21e-11
1.4e-05,0,8.73e-11
1.5e-05,0,1.62e-10
1.6e-05,0,2.76e-10
1.7e-05,0,4.42e-10
1.8e-05,0,6.73e-10
1.9e-05,0,9.85e-10
2e-05,0,1.39e-09
2.1e-05,0,1.92e-09
2.2e-05,0,2.58e-09
2.3e-05,0,3.4e-09
2.4e-05,0,4.4e-09
2.5e-05,0,5.61e-09
2.6e-05,0,7.05e-09
2.7e-05,0,8.75e-09
2.8e-05,0,1.07e-08
2.9e-05,0,1.31e-08
3e-05,0,1.57e-08
3.1e-05,0,1.88e-08
3.2e-05,0,2.22e-08
3.3e-05,0,2.62e-08
3.4e-05,0,3.06e-08
3.5e-05,0,3.56e-08
3.6e-05,0,4.12e-08
3.7e-05,0,4.74e-08
3.8e-05,0,5.42e-08
3.9e-05,0,6.18e-08
4e-05,0,7.02e-08
4.1e-05,0,7.93e-08
4.2e-05,0,8.94e-08
4.3e-05,0,1e-07
4.4e-05,0,1.12e-07
4.5e-05,0,1.25e-07
4.6e-05,0,1.39e-07
4.7e-05,0,1.55e-07
4.8e-05,0,1.71e-07
4.9e-05,0,1.89e-07
5e-05,0,2.08e-07
5.1e-05,0,2.28e-07
5.2e-05,0,2.5e-07
5.3e-05,0,2.74e-07
5.4e-05,0,2.99e-07
5.5e-05,0,3.25e-07
5.6e-05,0,3.54e-07
5.7e-05,0,3.84e-07
5.8e-05,0,4.16e-07
5.9e-05,0,4.51e-07
6e-05,0,4.87e-07
6.1e-05,0,5.25e-07
6.2e-05,0,5.66e-07
6.3e-05,0,6.09e-07
6.4e-05,0,6.54e-07
6.5e-05,0,7.02e-07
6.6e-05,0,7.52e-07
6.7e-05,0,8.05e-07
6.8e-05,0,8.61e-07
6.9e-05,0,9.2e-07
7e-05,0,9.81e-07
7.1e-05,0,1.05e-06
7.2e-05,0,1.11e-06
7.3e-05,0,1.18e-06
7.4e-05,0,1.26e-06
7.5e-05,0,1.34e-06
7.6e-05,0,1.42e-06
7.7e-05,0,1.5e-06
7.8e-05,0,1.59e-06
7.9e-05,0,1.68e-06
8e-05,0,1.78e-06
8.1e-05,0,1.88e-06
