Ê±¼ä,Ö¸Áî,·´À¡¦
0.0,40.0,0.0
1e-06,40.0,0.0
2e-06,40.0,0.0
3e-06,40.0,0.0
4e-06,40.0,0.0
5e-06,40.0,0.0
6e-06,40.0,0.0
7e-06,40.0,0.0
8e-06,40.0,0.0
9e-06,40.0,0.043914254
1e-05,40.0,0.087813885
1.1e-05,40.0,0.131698897
1.2e-05,40.0,0.175569294
1.3e-05,40.0,0.219425082
1.4e-05,40.0,0.263266265
1.5e-05,40.0,0.307092848
1.6e-05,40.0,0.350904836
1.7e-05,40.0,0.394702234
1.8e-05,40.0,0.438485045
1.9e-05,40.0,0.482253276
2e-05,40.0,0.52600693
2.1e-05,40.0,0.569746013
2.2e-05,40.0,0.613470529
2.3e-05,40.0,0.657180483
2.4e-05,40.0,0.700875879
2.5e-05,40.0,0.744556723
2.6e-05,40.0,0.788223019
2.7e-05,40.0,0.831874772
2.8e-05,40.0,0.875511986
2.9e-05,40.0,0.919134666
3e-05,40.0,0.962742818
3.1e-05,40.0,1.006336445
3.2e-05,40.0,1.049915552
3.3e-05,40.0,1.093480145
3.4e-05,40.0,1.137030228
3.5e-05,40.0,1.180565804
3.6e-05,40.0,1.224086881
3.7e-05,40.0,1.267593461
3.8e-05,40.0,1.31108555
3.9e-05,40.0,1.354563152
4e-05,40.0,1.398026272
4.1e-05,40.0,1.441474915
4.2e-05,40.0,1.484909086
4.3e-05,40.0,1.528328788
4.4e-05,40.0,1.571734028
4.5e-05,40.0,1.615124809
4.6e-05,40.0,1.658501136
4.7e-05,40.0,1.701863015
4.8e-05,40.0,1.745210449
4.9e-05,40.0,1.788543443
5e-05,40.0,1.831862003
5.1e-05,40.0,1.875166132
5.2e-05,40.0,1.918455835
5.3e-05,40.0,1.961731118
5.4e-05,40.0,2.004991984
5.5e-05,40.0,2.048238439
5.6e-05,40.0,2.091470487
5.7e-05,40.0,2.134688132
5.8e-05,40.0,2.177891381
5.9e-05,40.0,2.221080236
6e-05,40.0,2.264254703
6.1e-05,40.0,2.307414787
6.2e-05,40.0,2.350560492
6.3e-05,40.0,2.393691822
6.4e-05,40.0,2.436808784
6.5e-05,40.0,2.47991138
6.6e-05,40.0,2.522999616
6.7e-05,40.0,2.566073497
6.8e-05,40.0,2.609133027
6.9e-05,40.0,2.652178211
7e-05,40.0,2.695209053
7.1e-05,40.0,2.738225558
7.2e-05,40.0,2.781227731
7.3e-05,40.0,2.824215577
7.4e-05,40.0,2.8671891
7.5e-05,40.0,2.910148304
7.6e-05,40.0,2.953093195
7.7e-05,40.0,2.996023777
7.8e-05,40.0,3.038940055
7.9e-05,40.0,3.081842033
8e-05,40.0,3.124729716
8.1e-05,40.0,3.167603108
8.2e-05,40.0,3.210462215
8.3e-05,40.0,3.253307041
8.4e-05,40.0,3.29613759
8.5e-05,40.0,3.338953868
8.6e-05,40.0,3.381755878
8.7e-05,40.0,3.424543626
8.8e-05,40.0,3.467317115
8.9e-05,40.0,3.510076352
9e-05,40.0,3.55282134
9.1e-05,40.0,3.595552084
9.2e-05,40.0,3.638268588
9.3e-05,40.0,3.680970858
9.4e-05,40.0,3.723658897
9.5e-05,40.0,3.766332711
9.6e-05,40.0,3.76507805
9.7e-05,40.0,3.763823796
9.8e-05,40.0,3.762569949
9.9e-05,40.0,3.76131651
0.0001,40.0,3.760063477
0.000101,40.0,3.758810852
0.000102,40.0,3.757558633
0.000103,40.0,3.756306821
0.000104,40.0,3.755055415
0.000105,40.0,3.753804415
0.000106,40.0,3.752553822
0.000107,40.0,3.751303635
0.000108,40.0,3.750053854
0.000109,40.0,3.792718733
0.00011,40.0,3.835369394
0.000111,40.0,3.878005842
0.000112,40.0,3.92062808
0.000113,40.0,3.963236115
0.000114,40.0,4.00582995
0.000115,40.0,4.04840959
0.000116,40.0,4.09097504
0.000117,40.0,4.133526304
0.000118,40.0,4.176063387
0.000119,40.0,4.218586293
0.00012,40.0,4.261095028
0.000121,40.0,4.303589595
0.000122,40.0,4.346069999
0.000123,40.0,4.388536245
0.000124,40.0,4.430988338
0.000125,40.0,4.473426282
0.000126,40.0,4.515850082
0.000127,40.0,4.558259741
0.000128,40.0,4.600655266
0.000129,40.0,4.64303666
0.00013,40.0,4.685403928
0.000131,40.0,4.727757075
0.000132,40.0,4.770096105
0.000133,40.0,4.812421022
0.000134,40.0,4.854731832
0.000135,40.0,4.897028539
0.000136,40.0,4.939311148
0.000137,40.0,4.981579663
0.000138,40.0,5.023834088
0.000139,40.0,5.066074429
0.00014,40.0,5.108300689
0.000141,40.0,5.150512874
0.000142,40.0,5.192710988
0.000143,40.0,5.234895035
0.000144,40.0,5.277065021
0.000145,40.0,5.319220949
0.000146,40.0,5.361362824
0.000147,40.0,5.403490651
0.000148,40.0,5.445604435
0.000149,40.0,5.487704179
0.00015,40.0,5.529789889
0.000151,40.0,5.571861569
0.000152,40.0,5.613919224
0.000153,40.0,5.655962858
0.000154,40.0,5.697992475
0.000155,40.0,5.740008081
0.000156,40.0,5.78200968
0.000157,40.0,5.823997276
0.000158,40.0,5.865970873
0.000159,40.0,5.907930478
0.00016,40.0,5.949876093
0.000161,40.0,5.991807724
0.000162,40.0,6.033725375
0.000163,40.0,6.07562905
0.000164,40.0,6.117518755
0.000165,40.0,6.159394493
0.000166,40.0,6.20125627
0.000167,40.0,6.243104089
0.000168,40.0,6.284937956
0.000169,40.0,6.326757874
0.00017,40.0,6.368563849
0.000171,40.0,6.410355885
0.000172,40.0,6.452133986
0.000173,40.0,6.493898157
0.000174,40.0,6.535648403
0.000175,40.0,6.577384727
0.000176,40.0,6.619107135
0.000177,40.0,6.660815631
0.000178,40.0,6.70251022
0.000179,40.0,6.744190905
0.00018,40.0,6.785857692
0.000181,40.0,6.827510586
0.000182,40.0,6.869149589
0.000183,40.0,6.910774708
0.000184,40.0,6.952385947
0.000185,40.0,6.993983309
0.000186,40.0,7.035566801
0.000187,40.0,7.077136425
0.000188,40.0,7.118692187
0.000189,40.0,7.160234091
0.00019,40.0,7.201762142
0.000191,40.0,7.243276344
0.000192,40.0,7.284776702
0.000193,40.0,7.326263219
0.000194,40.0,7.367735902
0.000195,40.0,7.409194753
0.000196,40.0,7.406725524
0.000197,40.0,7.404257096
0.000198,40.0,7.40178947
0.000199,40.0,7.399322646
0.0002,40.0,7.396856622
0.000201,40.0,7.394391399
0.000202,40.0,7.391926977
0.000203,40.0,7.389463355
0.000204,40.0,7.387000532
0.000205,40.0,7.38453851
0.000206,40.0,7.382077287
0.000207,40.0,7.379616863
0.000208,40.0,7.377157239
0.000209,40.0,7.418612667
0.00021,40.0,7.46005427
0.000211,40.0,7.501482052
0.000212,40.0,7.542896018
0.000213,40.0,7.584296172
0.000214,40.0,7.625682518
0.000215,40.0,7.667055062
0.000216,40.0,7.708413808
0.000217,40.0,7.749758759
0.000218,40.0,7.791089921
0.000219,40.0,7.832407299
0.00022,40.0,7.873710895
0.000221,40.0,7.915000716
0.000222,40.0,7.956276765
0.000223,40.0,7.997539048
0.000224,40.0,8.038787567
0.000225,40.0,8.080022329
0.000226,40.0,8.121243337
0.000227,40.0,8.162450596
0.000228,40.0,8.20364411
0.000229,40.0,8.244823884
0.00023,40.0,8.285989922
0.000231,40.0,8.327142228
0.000232,40.0,8.368280808
0.000233,40.0,8.409405666
0.000234,40.0,8.450516805
0.000235,40.0,8.491614231
0.000236,40.0,8.532697949
0.000237,40.0,8.573767961
0.000238,40.0,8.614824273
0.000239,40.0,8.65586689
0.00024,40.0,8.696895815
0.000241,40.0,8.737911054
